Epoch,Training Loss,Validation MRR,Learning Rate
1,44512.085127353625,0,0.001
2,28219.325875494553,0,0.001
3,19047.78371920399,0,0.001
4,15728.763995526437,0,0.001
5,13529.746924754692,0,0.001
6,11686.46746155587,0,0.001
7,9993.73002554164,0,0.001
8,8453.734668157846,0,0.001
9,7171.737881376412,0,0.001
10,6056.306657084882,0,0.001
11,5265.972857545586,0,0.001
12,4566.613290498786,0,0.001
13,4105.485494383854,0,0.001
14,3736.3625572314354,0,0.001
15,3496.3403856943687,0,0.001
16,3267.936770503699,0,0.001
17,3050.7307631274007,0,0.001
18,3001.672666787741,0,0.001
19,2832.5722616872677,0,0.001
20,2784.9710497351543,0,0.001
21,2675.395974610249,0.30230021476745605,0.001
22,2694.8036697866337,0.30230021476745605,0.001
23,2651.2646340297056,0.30230021476745605,0.001
24,2623.81605268133,0.30230021476745605,0.001
25,2506.1845581858192,0.30230021476745605,0.001
26,2488.3797643047455,0.30230021476745605,0.001
27,2450.0652607622847,0.30230021476745605,0.001
28,2450.061798313709,0.30230021476745605,0.001
29,2463.714353149524,0.30230021476745605,0.001
30,2446.777623182918,0.30230021476745605,0.001
31,2464.853984827871,0.30230021476745605,0.001
32,2467.5898036864232,0.30230021476745605,0.001
33,2370.275301966235,0.30230021476745605,0.001
34,2346.513231691856,0.30230021476745605,0.001
35,2328.777148126181,0.30230021476745605,0.001
36,2343.3101335625106,0.30230021476745605,0.001
37,2350.226963792101,0.30230021476745605,0.001
38,2320.652457420875,0.30230021476745605,0.001
39,2348.8784577180177,0.30230021476745605,0.001
40,2369.626694813917,0.30230021476745605,0.001
41,2336.594356385038,0.2606658339500427,0.001
42,2325.0306218419496,0.2606658339500427,0.001
43,2289.8449524847747,0.2606658339500427,0.001
44,2280.47537808591,0.2606658339500427,0.001
45,2310.013447723731,0.2606658339500427,0.001
46,2275.035131517683,0.2606658339500427,0.001
47,2314.9818674176972,0.2606658339500427,0.001
48,2230.4535742330563,0.2606658339500427,0.001
49,2245.658912993914,0.2606658339500427,0.001
50,2355.674941126082,0.2606658339500427,0.001
51,2335.9510541506406,0.2606658339500427,0.001
52,2254.166418616378,0.2606658339500427,0.001
53,2221.3154602845593,0.2606658339500427,0.001
54,2204.098731343816,0.2606658339500427,0.001
55,2235.1086321859407,0.2606658339500427,0.001
56,2194.333245717699,0.2606658339500427,0.001
57,2319.5056616508723,0.2606658339500427,0.001
58,2246.2698049307996,0.2606658339500427,0.001
59,2162.7533933287855,0.2606658339500427,0.001
60,2224.673225769158,0.2606658339500427,0.001
61,2172.9397082995606,0.22229313850402832,0.001
62,2209.582806422841,0.22229313850402832,0.001
63,2230.928927954501,0.22229313850402832,0.001
64,2149.8274327645295,0.22229313850402832,0.001
65,2199.7350106203694,0.22229313850402832,0.001
66,2119.521788396049,0.22229313850402832,0.001
67,2223.288695702377,0.22229313850402832,0.001
68,2213.0334732647066,0.22229313850402832,0.001
69,2140.3149366591565,0.22229313850402832,0.001
70,2187.6363430424262,0.22229313850402832,0.001
71,2120.80296689434,0.22229313850402832,0.001
72,2148.1387662642287,0.22229313850402832,0.001
73,2171.712556678158,0.22229313850402832,0.001
74,2139.0091385403316,0.22229313850402832,0.001
75,2165.2517924699096,0.22229313850402832,0.001
76,2086.273264369147,0.22229313850402832,0.001
77,2173.903428511363,0.22229313850402832,0.001
78,2179.428149230721,0.22229313850402832,0.001
79,2098.0744267404007,0.22229313850402832,0.001
80,2137.5068092912065,0.22229313850402832,0.001
81,2079.7847748339186,0.2043459117412567,0.001
82,2122.4827990210642,0.2043459117412567,0.001
83,2124.5708346701995,0.2043459117412567,0.001
84,2082.3131281590277,0.2043459117412567,0.001
85,2152.8525635149786,0.2043459117412567,0.001
86,2058.744115141053,0.2043459117412567,0.001
87,2148.889267143334,0.2043459117412567,0.001
88,2122.6850484816923,0.2043459117412567,0.001
89,2049.922540018965,0.2043459117412567,0.001
90,2126.5479345783333,0.2043459117412567,0.001
91,2045.194620829025,0.2043459117412567,0.001
92,2122.8118579152483,0.2043459117412567,0.001
93,2109.488096684411,0.2043459117412567,0.001
94,2078.6122505151457,0.2043459117412567,0.001
95,2104.292003049029,0.2043459117412567,0.001
96,2030.2537902120116,0.2043459117412567,0.001
97,2124.2613477153795,0.2043459117412567,0.001
98,2094.1201451482857,0.2043459117412567,0.001
99,2046.488325911149,0.2043459117412567,0.001
100,2096.053201860685,0.2043459117412567,0.001
101,2047.6382013839932,0.18510237336158752,0.001
102,2092.142038730817,0.18510237336158752,0.001
103,2077.4272114204987,0.18510237336158752,0.001
104,2055.3583157699813,0.18510237336158752,0.001
105,2093.572152713313,0.18510237336158752,0.001
106,2004.9521581191307,0.18510237336158752,0.001
107,2111.333635139857,0.18510237336158752,0.001
108,2064.2018536396795,0.18510237336158752,0.001
109,2019.1198918526518,0.18510237336158752,0.001
110,2081.2742784610823,0.18510237336158752,0.001
111,2014.764772442629,0.18510237336158752,0.001
112,2086.437818781249,0.18510237336158752,0.001
113,2074.5131529823484,0.18510237336158752,0.001
114,2020.043602057462,0.18510237336158752,0.001
115,2068.5356172381616,0.18510237336158752,0.001
116,1991.9027353360393,0.18510237336158752,0.001
117,2075.849808459896,0.18510237336158752,0.001
