Epoch,Training Loss,Validation MRR,Learning Rate
1,54737.06461008563,0,0.001
2,48230.5584240905,0,0.001
3,42020.11472883249,0,0.001
4,37692.10863826758,0,0.001
5,34278.359036526555,0,0.001
6,31798.073753073397,0,0.001
7,29916.33198880169,0,0.001
8,28474.977724359247,0,0.001
9,27332.700553510014,0,0.001
10,26317.779129090046,0,0.001
11,25414.06779197391,0,0.001
12,24622.574395298743,0,0.001
13,23860.974103891895,0,0.001
14,23165.77043050021,0,0.001
15,22514.236888217492,0,0.001
16,21891.55138352994,0,0.001
17,21365.40911486099,0,0.001
18,20881.19344231961,0,0.001
19,20398.15769638123,0,0.001
20,19961.490283665455,0,0.001
21,19528.301094017985,0.06613471359014511,0.001
22,19125.78232368259,0.06613471359014511,0.001
23,18764.735118416225,0.06613471359014511,0.001
24,18383.88903850092,0.06613471359014511,0.001
25,18026.21860196473,0.06613471359014511,0.001
26,17706.122893207827,0.06613471359014511,0.001
27,17421.461894184587,0.06613471359014511,0.001
28,17116.8692470704,0.06613471359014511,0.001
29,16819.78194312542,0.06613471359014511,0.001
30,16555.15600578963,0.06613471359014511,0.001
31,16288.254498097449,0.06613471359014511,0.001
32,16056.66404172956,0.06613471359014511,0.001
33,15776.64622777692,0.06613471359014511,0.001
34,15550.648125224354,0.06613471359014511,0.001
35,15361.512730210763,0.06613471359014511,0.001
36,15096.443137687485,0.06613471359014511,0.001
37,14904.768668263807,0.06613471359014511,0.001
38,14674.977737423227,0.06613471359014511,0.001
39,14466.535137097324,0.06613471359014511,0.001
40,14274.073799901966,0.06613471359014511,0.001
41,14032.137118095547,0.10389044880867004,0.001
42,13857.990482428131,0.10389044880867004,0.001
CHECKPOINT RESTART,CHECKPOINT RESTART,CHECKPOINT RESTART,CHECKPOINT RESTART
42,13870.559029587197,0,0.001
43,13653.793218942685,0,0.001
44,13455.404396706019,0,0.001
45,13313.618457574576,0,0.001
46,13111.721525994646,0,0.001
47,12942.77951106717,0,0.001
48,12778.814107968834,0,0.001
49,12617.745143442226,0,0.001
50,12437.497086164758,0,0.001
51,12304.473052828405,0,0.001
52,12129.96341294914,0,0.001
53,11981.55145084444,0,0.001
54,11836.487407448314,0,0.001
55,11718.214751910924,0,0.001
56,11555.402662073278,0,0.001
57,11401.761724965376,0,0.001
58,11307.462111791956,0,0.001
59,11212.609689174184,0,0.001
60,11047.15617462499,0,0.001
CHECKPOINT RESTART,CHECKPOINT RESTART,CHECKPOINT RESTART,CHECKPOINT RESTART
60,11041.882637774674,0,0.001
61,10919.806024883546,0.10894669592380524,0.001
62,10796.223879284744,0.10894669592380524,0.001
63,10702.884908096212,0.10894669592380524,0.001
64,10571.302303322263,0.10894669592380524,0.001
65,10518.217733149011,0.10894669592380524,0.001
66,10377.152419670723,0.10894669592380524,0.001
67,10273.926578817694,0.10894669592380524,0.001
68,10225.233495105047,0.10894669592380524,0.001
69,10118.728147801017,0.10894669592380524,0.001
70,10018.211281322116,0.10894669592380524,0.001
71,9948.755352261767,0.10894669592380524,0.001
72,9852.827834317677,0.10894669592380524,0.001
73,9774.93607282645,0.10894669592380524,0.001
74,9719.533059681375,0.10894669592380524,0.001
