Epoch,Training Loss,Validation MRR,Learning Rate
1,4478.162222893033,0,0.001
2,2870.4593311524945,0,0.001
3,2122.0915406916406,0,0.001
4,1661.8836026231359,0,0.001
5,1345.0680858782848,0,0.001
6,1155.0385466861787,0,0.001
7,1026.7499303208374,0,0.001
8,971.3335119188104,0,0.001
9,955.8209049685788,0,0.001
10,950.312624435927,0,0.001
11,961.222870950744,0,0.001
12,983.3124235882054,0,0.001
13,956.9729321929383,0,0.001
14,929.9037047709758,0,0.001
15,960.2490485486777,0,0.001
16,998.6998636483189,0,0.001
17,1005.98353423667,0,0.001
18,994.4306339239378,0,0.001
19,982.9025136118872,0,0.001
20,995.1852771407222,0,0.001
CHECKPOINT RESTART,CHECKPOINT RESTART,CHECKPOINT RESTART,CHECKPOINT RESTART
20,974.65285420765,0,0.001
21,973.1696872494651,0.07299444079399109,0.001
22,983.4253562388008,0.07299444079399109,0.001
23,991.0915866266196,0.07299444079399109,0.001
24,1007.7107311819249,0.07299444079399109,0.001
25,1012.3618226531531,0.07299444079399109,0.001
26,988.3704293923468,0.07299444079399109,0.001
27,979.7533634395749,0.07299444079399109,0.001
28,997.7155275833059,0.07299444079399109,0.001
29,1002.4969004115611,0.07299444079399109,0.001
30,1008.3248479685216,0.07299444079399109,0.001
31,1013.5350007659922,0.07299444079399109,0.001
32,1020.9707841256042,0.07299444079399109,0.001
33,1020.0007149483627,0.07299444079399109,0.001
34,1022.2560083369405,0.07299444079399109,0.001
35,1021.8628459413923,0.07299444079399109,0.001
36,1041.8605015634294,0.07299444079399109,0.001
37,1047.4248284251285,0.07299444079399109,0.001
38,1044.3562386049307,0.07299444079399109,0.001
39,1109.7790646343517,0.07299444079399109,0.001
40,1097.2250500952962,0.07299444079399109,0.001
41,1119.477473627145,0.08324016630649567,0.001
42,1112.3693185787197,0.08324016630649567,0.001
43,1124.452629157845,0.08324016630649567,0.001
44,1122.784616057458,0.08324016630649567,0.001
45,1123.1661793653698,0.08324016630649567,0.001
46,1125.042274716061,0.08324016630649567,0.001
47,1116.6944402476934,0.08324016630649567,0.001
48,1134.160099119034,0.08324016630649567,0.001
49,1143.458949704888,0.08324016630649567,0.001
50,1152.693782369732,0.08324016630649567,0.001
51,1144.153752986209,0.08324016630649567,0.001
52,1156.0340040255,0.08324016630649567,0.001
53,1154.9086699524398,0.08324016630649567,0.001
54,1156.4482471771666,0.08324016630649567,0.001
55,1167.605169982327,0.08324016630649567,0.001
56,1164.0726249547247,0.08324016630649567,0.001
57,1162.5970942937863,0.08324016630649567,0.001
58,1167.373329746283,0.08324016630649567,0.001
59,1170.6048087626793,0.08324016630649567,0.001
60,1175.4245324827275,0.08324016630649567,0.001
61,1149.958446470618,0.09161441773176193,0.001
62,1168.2282532456768,0.09161441773176193,0.001
63,1168.851902528257,0.09161441773176193,0.001
64,1192.6929464397638,0.09161441773176193,0.001
65,1162.6298527338477,0.09161441773176193,0.001
66,1168.094755586064,0.09161441773176193,0.001
67,1170.0729693440592,0.09161441773176193,0.001
68,1181.5842429042184,0.09161441773176193,0.001
69,1175.1712026438365,0.09161441773176193,0.001
70,1176.5029217454519,0.09161441773176193,0.001
71,1157.0457905442554,0.09161441773176193,0.001
72,1180.5519185607286,0.09161441773176193,0.001
73,1185.480564880519,0.09161441773176193,0.001
74,1169.8510252131287,0.09161441773176193,0.001
75,1174.7303388325013,0.09161441773176193,0.001
76,1167.2592479237067,0.09161441773176193,0.001
77,1166.8489572408653,0.09161441773176193,0.001
78,1147.349116193545,0.09161441773176193,0.001
79,1180.5055208580195,0.09161441773176193,0.001
80,1168.1626793834835,0.09161441773176193,0.001
81,1171.5618096266019,0.0792870819568634,0.001
82,1168.9536610560385,0.0792870819568634,0.001
83,1155.8013740271042,0.0792870819568634,0.001
84,1156.284114435247,0.0792870819568634,0.001
85,1150.9505513237332,0.0792870819568634,0.001
86,1142.813699977744,0.0792870819568634,0.001
87,1141.336208272116,0.0792870819568634,0.001
88,1124.9398625231106,0.0792870819568634,0.001
89,1150.868240045975,0.0792870819568634,0.001
90,1115.6662102704088,0.0792870819568634,0.001
91,1130.832497170397,0.0792870819568634,0.001
92,1122.3342741901993,0.0792870819568634,0.001
93,1127.1267109410062,0.0792870819568634,0.001
94,1115.3845544695628,0.0792870819568634,0.001
95,1117.7366161420323,0.0792870819568634,0.001
96,1121.0528460613507,0.0792870819568634,0.001
97,1115.6390440463308,0.0792870819568634,0.001
98,1122.9607604231776,0.0792870819568634,0.001
99,1110.1972645586663,0.0792870819568634,0.001
100,1120.6205331395013,0.0792870819568634,0.001
101,1098.632739016094,0.07596389949321747,0.001
102,1100.4910868085371,0.07596389949321747,0.001
103,1099.2602635795618,0.07596389949321747,0.001
104,1118.948257656148,0.07596389949321747,0.001
105,1104.4841013841678,0.07596389949321747,0.001
106,1094.3973254783175,0.07596389949321747,0.001
107,1105.707581112561,0.07596389949321747,0.001
108,1069.9770707912392,0.07596389949321747,0.001
109,1090.0505885562493,0.07596389949321747,0.001
110,1087.0816227437647,0.07596389949321747,0.001
111,1080.1951515579715,0.07596389949321747,0.001
112,1070.151922069209,0.07596389949321747,0.001
113,1071.4818625433936,0.07596389949321747,0.001
114,1072.0086375082656,0.07596389949321747,0.001
115,1080.8516467195684,0.07596389949321747,0.001
116,1075.4872885094742,0.07596389949321747,0.001
117,1083.908473742523,0.07596389949321747,0.001
118,1072.0771989341538,0.07596389949321747,0.001
119,1088.3354178020636,0.07596389949321747,0.001
120,1069.9006596617219,0.07596389949321747,0.001
121,1068.648062280653,0.07471808791160583,0.001
122,1065.599241754378,0.07471808791160583,0.001
123,1062.0727318237257,0.07471808791160583,0.001
124,1056.3907026109048,0.07471808791160583,0.001
125,1064.7047531151618,0.07471808791160583,0.001
126,1062.2011899715153,0.07471808791160583,0.001
127,1058.9832228194164,0.07471808791160583,0.001
128,1080.4500101021988,0.07471808791160583,0.001
129,1067.7352117351056,0.07471808791160583,0.001
130,1064.7760637602516,0.07471808791160583,0.001
131,1054.5316168643972,0.07471808791160583,0.001
132,1062.9308979629075,0.07471808791160583,0.001
133,1060.4846523744436,0.07471808791160583,0.001
134,1064.497487683069,0.07471808791160583,0.001
135,1063.7186531583154,0.07471808791160583,0.001
136,1056.219914882616,0.07471808791160583,0.001
137,1071.1395856944976,0.07471808791160583,0.001
138,1066.2858868443848,0.07471808791160583,0.001
139,1079.4233292194228,0.07471808791160583,0.001
140,1069.6197354003398,0.07471808791160583,0.001
141,1058.34588808512,0.07979771494865417,0.001
142,1054.0535805871286,0.07979771494865417,0.001
143,1072.4766064959726,0.07979771494865417,0.001
144,1056.6010171854612,0.07979771494865417,0.001
145,1053.8133298314456,0.07979771494865417,0.001
146,1048.3823131592444,0.07979771494865417,0.001
147,1067.0022304851764,0.07979771494865417,0.001
148,1048.123626476981,0.07979771494865417,0.001
149,1050.3547181266315,0.07979771494865417,0.001
150,1050.7524678556417,0.07979771494865417,0.001
151,1056.4116749882376,0.07979771494865417,0.001
152,1061.8933021351509,0.07979771494865417,0.001
153,1057.3926024453096,0.07979771494865417,0.001
154,1045.8460405862238,0.07979771494865417,0.001
155,1055.3817591066695,0.07979771494865417,0.001
156,1046.1380535626342,0.07979771494865417,0.001
157,1049.4482439400729,0.07979771494865417,0.001
158,1058.3727159709601,0.07979771494865417,0.001
159,1054.235839814472,0.07979771494865417,0.001
160,1043.181720783928,0.07979771494865417,0.001
161,1034.7336781415397,0.07517652213573456,0.001
162,1037.3241355750426,0.07517652213573456,0.001
163,1042.8138859483088,0.07517652213573456,0.001
164,1040.0095314596354,0.07517652213573456,0.001
165,1030.9763293018568,0.07517652213573456,0.001
166,1026.6189789396608,0.07517652213573456,0.001
167,1032.691451155717,0.07517652213573456,0.001
168,1036.9961990820545,0.07517652213573456,0.001
169,1040.181324061461,0.07517652213573456,0.001
170,1013.836856441243,0.07517652213573456,0.001
171,1021.0680140061928,0.07517652213573456,0.001
172,1029.452315706566,0.07517652213573456,0.001
173,1015.8299590476178,0.07517652213573456,0.001
174,1016.1485469669226,0.07517652213573456,0.001
175,1024.029246703168,0.07517652213573456,0.001
176,1026.6124052812113,0.07517652213573456,0.001
177,1022.6564651206136,0.07517652213573456,0.001
178,1015.6218251094136,0.07517652213573456,0.001
179,1020.474974763244,0.07517652213573456,0.001
180,1008.4486212279169,0.07517652213573456,0.001
181,1014.6169315134342,0.07599526643753052,0.001
182,1024.6079110203304,0.07599526643753052,0.001
183,1023.7325424716634,0.07599526643753052,0.001
184,1013.943440321334,0.07599526643753052,0.001
185,1034.542655807681,0.07599526643753052,0.001
186,1028.9829693909571,0.07599526643753052,0.001
187,1026.1371590108158,0.07599526643753052,0.001
188,1026.8898687035528,0.07599526643753052,0.001
189,1019.3853662410118,0.07599526643753052,0.001
190,1028.2152086925314,0.07599526643753052,0.001
191,1027.1435443479006,0.07599526643753052,0.001
192,1033.4846917407426,0.07599526643753052,0.001
193,1036.1108153945745,0.07599526643753052,0.001
194,1012.2913425191641,0.07599526643753052,0.001
195,1047.0884667091116,0.07599526643753052,0.001
196,1026.709719553244,0.07599526643753052,0.001
197,1035.4169908864976,0.07599526643753052,0.001
198,1036.8579844491562,0.07599526643753052,0.001
199,1041.4654009884243,0.07599526643753052,0.001
200,1047.2820961171976,0.07599526643753052,0.001
201,1034.9420689973786,0.07385727763175964,0.001
202,1041.9271674769686,0.07385727763175964,0.001
203,1022.419852869677,0.07385727763175964,0.001
204,1024.734018879813,0.07385727763175964,0.001
205,1025.4771129936669,0.07385727763175964,0.001
206,1019.1419409437696,0.07385727763175964,0.001
207,1027.978513051144,0.07385727763175964,0.001
